Fecha,Set-Point,Distancia
13/08/2022 10:26,30,27
13/08/2022 10:26,30,27
13/08/2022 10:26,30,27
13/08/2022 10:26,30,27
13/08/2022 10:26,30,27
13/08/2022 10:26,30,27
13/08/2022 10:26,30,27
13/08/2022 10:26,30,27
13/08/2022 10:26,30,27
13/08/2022 10:26,30,27
13/08/2022 10:26,30,27
13/08/2022 10:26,30,27
13/08/2022 10:26,30,27
13/08/2022 10:26,30,27
13/08/2022 10:26,30,27
13/08/2022 10:26,30,27
13/08/2022 10:26,30,27
13/08/2022 10:26,30,27
13/08/2022 10:26,30,27
13/08/2022 10:26,30,27
13/08/2022 10:26,30,27
13/08/2022 10:26,30,27
13/08/2022 10:26,30,27
13/08/2022 10:26,30,27
13/08/2022 10:26,30,27
13/08/2022 10:26,30,27
13/08/2022 10:26,30,27
13/08/2022 10:26,30,27
13/08/2022 10:26,30,27
13/08/2022 10:26,30,27
13/08/2022 10:26,30,27
13/08/2022 10:26,30,27
13/08/2022 10:26,30,27
13/08/2022 10:26,30,28
13/08/2022 10:26,30,27
13/08/2022 10:26,30,27
13/08/2022 10:26,30,27
13/08/2022 10:26,30,27
13/08/2022 10:26,30,27
13/08/2022 10:26,30,27
13/08/2022 10:26,30,27
13/08/2022 10:26,30,28
13/08/2022 10:26,30,28
13/08/2022 10:26,30,27
13/08/2022 10:26,30,28
13/08/2022 10:26,30,28
13/08/2022 10:26,30,27
13/08/2022 10:26,30,27
13/08/2022 10:26,30,27
13/08/2022 10:26,30,27
13/08/2022 10:26,30,28
